test_id,test_strain,type,ailment_1,ailment_2,ailment_3,ailment_4,ailment_5,effects_1,effects_2,effects_3,effects_4,effects_5,effects_6,effects_7,effects_8,flavor_1,flavor_2,flavor_3,flavor_4
19,Dutch Hawaiian,Sativa,Depression, Stress, Pain, Nausea,,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious,,Citrus, Sweet,,
21,SleeStack,Hybrid,Stress, Depression,,,,Uplifted, Euphoric, Creative, Relaxed, Talkative, Anxious, Dry Mouth,,Sweet, Pine,,
22,Space Needle,Sativa,Depression, Stress,,,,Uplifted, Euphoric, Happy, Hungry, Relaxed, Dry Mouth, Anxious,,Pine,,,
23,Double Purple Doja,Hybrid,Pain, Stress, Inflammation, Muscle Spasms,,Relaxed, Creative, Sleepy, Happy, Euphoric, Dry Mouth, Anxious,,Earthy, Grape,,
37,Jack Skellington,Hybrid,Stress, Depression, Pain, Muscle Spasms,,Creative, Relaxed, Euphoric, Energetic, Happy, Dry Mouth, Paranoid, Anxious,Citrus, Sweet,,
38,Northern Lights,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Pine, Sweet,
38,Northern Lights,Hybrid,Stress, Pain, Insomnia, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Pine, Sweet,
42,Qleaner,Hybrid,,,,,,Uplifted,Energetic,Happy,Euphoric,Creative,,,,,,,
43,Qush,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Sleepy, Uplifted, Happy, Euphoric, Dry Mouth,,,Citrus,,,
52,Afgoo,Indica,Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Pine, Earthy, Citrus,
57,Pineapple,Hybrid,,,,,,Happy,Uplifted,Euphoric,Relaxed,Energetic,,,,Earthy,Grape,Berry,
59,Jack the Ripper,Hybrid,Stress, Depression, Pain,,,Happy, Energetic, Uplifted, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Earthy,
60,Grape Ape,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious,,Grape, Sweet, Berry,
62,Harlequin,Hybrid,Stress, Pain, Depression, Inflammation,,Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious,,Earthy, Sweet,,
64,Chocolope,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid,Earthy, Coffee, Sweet,
72,Gremlin,Hybrid,,,,,,Euphoric,Relaxed,Uplifted,Aroused,Sleepy,,,,,,,
74,Jack Herer,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Energetic, Uplifted, Creative, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
82,AK-47,Hybrid,,,,,,Happy,Relaxed,Uplifted,Euphoric,Energetic,,,,,,,
83,Ace of Spades,Hybrid,Stress, Lack of Appetite, Pain, Depression, Insomnia,Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Berry,,
86,G-13,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,,,,Chemical,Sage,Flowery,
87,Permafrost,Hybrid,,,,,,Focused,Happy,Relaxed,Talkative,Euphoric,,,,,,,
89,Sour Diesel,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pungent,
90,Casey Jones,Hybrid,Depression, Stress, Pain, Inflammation,,Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,,
91,Purple Urkel,Indica,,,,,,,,,,,,,,Sweet,Earthy,Tropical,
93,Agent Orange,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Sage,Woody,
96,Querkle,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Sweet, Earthy, Berry,
100,Amnesia,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
101,Cinex,Hybrid,Depression, Stress, Pain,,,Energetic, Uplifted, Happy, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Earthy,,
103,Godzilla,Hybrid,Pain, Inflammation, Stress, Insomnia, Depression,Euphoric, Relaxed, Sleepy, Creative, Happy, Dry Mouth,,,Earthy, Berry,,
105,Blueberry Kush,Indica,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid,,Blueberry, Berry, Sweet,
116,Pitbull,Indica,Pain, Stress, Depression, Nausea, Insomnia,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
130,Vortex,Hybrid,Stress, Depression, Pain,,,Uplifted, Euphoric, Relaxed, Happy, Energetic, Dry Mouth, Anxious,,Mango, Earthy, Lemon,
131,Tangerine Dream,Hybrid,,,,,,,,,,,,,,Flowery,Citrus,Pungent,
132,Royal Queen,Hybrid,,,,,,,,,,,,,,Sweet,Pine,Woody,
137,Moby Dick,Hybrid,Stress, Depression, Pain,,,Happy, Euphoric, Uplifted, Relaxed, Energetic, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,
139,Purple Pineapple,Hybrid,,,,,,,,,,,,,,Sweet,Earthy,Tropical,
158,Blue Magoo,Hybrid,,,,,,,,,,,,,,Tree,Fruit,Sweet,Grape
159,Critical Mass,Hybrid,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
160,Grape Krush,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pine,
163,Train Wreck,Hybrid,,,,,,,,,,,,,,Earthy,Berry,Blueberry,
171,Trainwreck,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Creative,,,,Woody,Earthy,Citrus,
173,Afgooey,Indica,Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms,Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,,Earthy, Pine,,
177,Bubba Kush,Hybrid,Pain, Stress, Insomnia, Depression, Lack of Appetite,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
182,Lavender,Indica,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Lavender, Sweet,,
206,Alice in Wonderland,Hybrid,Lack of Appetite, Stress, Depression, Muscle Spasms,,Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious,,Pine, Earthy, Sweet,
208,Strawberry Cough,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Strawberry, Sweet, Berry,
214,Dynamite,Hybrid,Stress, Pain, Inflammation, Depression,,Euphoric, Tingly, Talkative, Creative, Horny, Dry Mouth, Anxious,,Earthy, Citrus,,
216,Headband,Hybrid,,,,,,Happy,Relaxed,Uplifted,Euphoric,Creative,,,,,,,
226,Durban Poison,Sativa,Depression, Stress, Pain, Nausea,,Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,
230,Skunk #1,Hybrid,,,,,,,,,,,,,,Berry,Lavender,Earthy,
234,Candy Skunk,Hybrid,,,,,,,,,,,,,,Tropical,Sweet,Tree,Fruit
243,Blue God,Hybrid,Pain, Insomnia, Stress, Depression, Lack of Appetite,Relaxed, Sleepy, Euphoric, Hungry, Happy, Dry Mouth, Paranoid,,Berry, Blueberry, Sweet,
244,Space Queen,Hybrid,,,,,,,,,,,,,,Tropical,Sweet,Tree,Fruit
274,Night Train,Hybrid,Insomnia, Pain, Stress, Lack of Appetite,,Relaxed, Sleepy, Tingly, Euphoric, Uplifted,,,,Pepper,,,
276,Blackberry Kush,Hybrid,Stress, Pain, Insomnia, Depression, Nausea,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Earthy,
285,Big Bud,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid,,Earthy,,,
286,Blue Cheese,Hybrid,Stress, Insomnia, Pain, Depression,,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious,,Blueberry,,,
294,OG Kush,Hybrid,,,,,,,,,,,,,,Earthy,Skunk,Flowery,
296,Shining Silver Haze,Hybrid,Stress,,,,,Talkative, Happy, Focused, Uplifted, Energetic,,,,,,,
308,Sage,Hybrid,,,,,,Happy,Euphoric,Relaxed,Uplifted,Energetic,,,,,,,
317,Purple Jolly Rancher,Hybrid,Insomnia, Pain, Nausea, Depression,,Relaxed, Euphoric, Sleepy, Happy, Uplifted, Dry Mouth, Anxious,,Citrus,,,
347,Chocolate Thai,Hybrid,Stress, Depression, Pain, Insomnia, Nausea,Relaxed, Uplifted, Happy, Focused, Sleepy, Dry Mouth, Paranoid, Anxious,Earthy, Coffee,,
352,Obama Kush,Hybrid,Pain, Stress, Depression, Nausea, Muscle Spasms,Relaxed, Uplifted, Euphoric, Happy, Focused, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
358,Purple Kush,Hybrid,Stress, Pain, Insomnia, Depression, Muscle Spasms,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Earthy, Berry, Grape,
360,Schrom,Hybrid,Stress, Depression, Lack of Appetite, Muscle Spasms,,Happy, Relaxed, Uplifted, Energetic, Creative, Dry Mouth,,,Lemon, Citrus, Pine,
471,Chemdawg,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Creative,,,,,,,
474,UW,Indica,Insomnia, Stress, Pain, Lack of Appetite, Depression,Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid, Anxious,Earthy, Berry,,
495,Warlock,Hybrid,,,,,,Relaxed,Hungry,Happy,Euphoric,Uplifted,,,,Earthy,Sweet,Woody,
605,God Bud,Hybrid,Stress, Pain, Depression, Inflammation, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
637,Grape God,Hybrid,,,,,,,,,,,,,,Lavender,Tobacco,Earthy,
652,Blue Hawaiian,Hybrid,,,,,,,,,,,,,,Earthy,Woody,Pine,
673,Seattle Cough,Hybrid,Depression, Stress, Inflammation, Nausea,,Happy, Creative, Uplifted, Relaxed, Talkative, Dry Mouth, Paranoid,,Pine, Citrus,,
707,Freezeland,Indica,Stress, Insomnia, Depression, Lack of Appetite,,Happy, Euphoric, Relaxed, Sleepy, Dry Mouth, Paranoid,,,Pine, Earthy,,
730,Black Cherry OG,Indica,Insomnia, Pain, Stress, Depression,,Relaxed, Uplifted, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid,Berry, Sweet, Earthy,
747,Romulan,Hybrid,Stress, Pain, Insomnia, Muscle Spasms,,Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,
786,Ice,Hybrid,,,,,,Euphoric,Uplifted,Relaxed,Happy,Tingly,,,,,,,
803,Dirty Girl,Hybrid,Depression, Stress, Pain, Insomnia,,Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Paranoid, Anxious,Sweet, Pine,,
814,B-52,Hybrid,Stress, Insomnia, Lack of Appetite, Depression,,Relaxed, Uplifted, Focused, Euphoric, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
843,Plushberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious,,Berry, Sweet,,
844,Mickey Kush,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Uplifted, Energetic, Euphoric, Talkative, Dry Mouth, Paranoid, Anxious,Earthy, Sweet, Pine,
933,Double Purple,Hybrid,,,,,,,,,,,,,,Earthy,Sweet,Pine,
944,Master Kush,Hybrid,Stress, Pain, Insomnia, Depression,,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy,,,
945,New York Diesel,Sativa,,,,,,,,,,,,,,Citrus,Spicy/Herbal,Sweet,
950,Shiva Skunk,Hybrid,Pain, Stress, Insomnia, Lack of Appetite,,Sleepy, Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Skunk, Sweet, Earthy,
951,Super Lemon Haze,Hybrid,Stress, Depression, Pain,,,Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious,Lemon, Citrus, Sweet,
977,Godberry,Indica,Insomnia, Pain, Stress, Muscle Spasms, Depression,Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid,,,Berry, Blueberry, Sweet,
1008,Quantum Kush,Hybrid,Depression, Stress, Lack of Appetite, Pain,,Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Paranoid, Anxious,Sweet, Earthy,,
1018,Maui,Hybrid,Depression, Stress, Lack of Appetite,,,Talkative, Energetic, Happy, Uplifted, Euphoric, Dry Mouth, Anxious,,Citrus, Sweet,,
1041,Orange Kush,Hybrid,Stress, Pain, Depression, Insomnia, Nausea,Relaxed, Happy, Uplifted, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious,Citrus, Orange, Sweet,
1053,Panama Red,Hybrid,Depression, Stress, Pain,,,Happy, Uplifted, Energetic, Focused, Horny, Dry Mouth, Anxious, Paranoid,Citrus, Pine,,
1065,Sour Tangie,Hybrid,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Relaxed, Energetic, Dry Mouth, Anxious,,Citrus, Orange,,
1074,Timewreck,Hybrid,Depression, Pain, Stress, Lack of Appetite,,Energetic, Uplifted, Talkative, Euphoric, Happy, Anxious, Dry Mouth,,Lemon, Lime,,
1089,Ogre,Hybrid,,,,,,Relaxed,Happy,Euphoric,Uplifted,Aroused,,,,,,,
1090,Black Magic,Hybrid,,,,,,,,,,,,,,Pungent,Earthy,Pine,
1112,O.G. Kush,Sativa,,,,,,,,,,,,,,Butter,Citrus,Cheese,
1113,Purple Elephant,Hybrid,Stress, Pain, Insomnia, Lack of Appetite, Depression,Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Sweet, Earthy, Grape,
1115,The HOG,Hybrid,Stress, Depression, Insomnia, Nausea,,Sleepy, Euphoric, Relaxed, Happy, Tingly, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
1175,Blueberry,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Blueberry, Sweet, Berry,
1177,Sugar Plum,Hybrid,Pain, Stress, Inflammation, Lack of Appetite, Nausea,Euphoric, Happy, Relaxed, Uplifted, Creative, Dry Mouth, Paranoid,,Sweet, Berry,,
1178,Cherry Pie,Indica,,,,,,,,,,,,,,Pungent,Earthy,Sweet,
1184,Cream Caramel,Hybrid,Stress, Insomnia, Depression, Pain,,Relaxed, Happy, Sleepy, Euphoric, Focused, Dry Mouth, Anxious,,Sweet, Honey, Earthy,
1192,LA Woman,Hybrid,,,,,,,,,,,,,,Earthy,Berry,Grape,
1217,Remedy,Indica,Stress, Pain, Depression, Insomnia, Inflammation,Relaxed, Sleepy, Happy, Uplifted, Focused, Dry Mouth,,,Earthy, Citrus,,
1243,Elephant,Sativa,,,,,,Happy, Creative, Focused, Relaxed, Euphoric,,,,Sweet, Earthy,,
1259,Blue OG,Hybrid,,,,,,,,,,,,,,Apricot,Earthy,Spicy/Herbal,
1271,Chernobyl,Hybrid,,,,,,Happy,Euphoric,Relaxed,Energetic,Uplifted,,,,,,,
1276,Kosher Kush,Hybrid,Pain, Stress, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious,Earthy,,,
1332,Kali Mist,Hybrid,Stress, Pain, Depression, Lack of Appetite, Muscle Spasms,Energetic, Creative, Happy, Focused, Uplifted, Dry Mouth, Anxious, Paranoid,Earthy, Sweet, Citrus,
1333,Super Skunk,Hybrid,Stress, Pain, Depression, Insomnia, Lack of Appetite,Relaxed, Happy, Sleepy, Hungry, Euphoric, Dry Mouth, Paranoid, Anxious,Skunk, Earthy, Sweet,
1369,Caramelicious,Hybrid,,,,,,Focused,Happy,Relaxed,Euphoric,Creative,,,,,,,
1449,AK-48,Hybrid,,,,,,Happy,Energetic,Uplifted,Creative,Relaxed,,,,,,,
1453,MK Ultra,Hybrid,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid,,Earthy, Sweet,,
1522,Sweet Cheese,Hybrid,Depression, Stress, Lack of Appetite,,,Euphoric, Uplifted, Happy, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet,,,
1576,The Black,Hybrid,Insomnia, Stress, Pain, Muscle Spasms, Inflammation,Relaxed, Sleepy, Happy, Tingly, Euphoric, Dry Mouth, Anxious, Paranoid,Earthy, Sweet,,
1631,Super Silver Haze,Sativa,Stress, Depression, Pain, Lack of Appetite,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Citrus, Earthy, Sweet,
1736,Charlie Sheen,Hybrid,,,,,,,,,,,,,,Spicy/Herbal,Earthy,Sweet,
1741,Purple OG Kush,Indica,Stress, Insomnia, Depression, Lack of Appetite,,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,
1855,THC Bomb,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,
1889,Aurora Indica,Hybrid,Stress, Insomnia, Pain, Muscle Spasms, Inflammation,Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid,,Pine, Skunk,,
1908,Chronic,Hybrid,,,,,,Relaxed,Happy,Giggly,Euphoric,Energetic,,,,,,,
1921,Fruit Punch,Hybrid,Depression, Stress, Pain, Nausea,,Happy, Uplifted, Euphoric, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid,Sweet, Berry,,
1922,Pot of Gold,Hybrid,Insomnia, Pain, Lack of Appetite, Stress,,Relaxed, Sleepy, Euphoric, Hungry, Uplifted, Paranoid, Anxious, Dry Mouth,Sweet, Grape, Pineapple,
1939,Granddaddy Purple,Indica,Stress, Insomnia, Pain, Depression, Lack of Appetite,Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid,,Berry, Grape, Sweet,
1959,Burmese,Hybrid,,,,,,,,,,,,,,Earthy,Pungent,Sweet,
2009,Buffalo Bill,Sativa,Depression, Stress, Pain, Insomnia,,Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Anxious,,Pine, Earthy,,
2022,Alaskan Thunder Fuck,Sativa,Stress, Depression, Lack of Appetite, Pain,,Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious,Earthy, Pine,,
2023,Deadwood,Indica,Stress, Muscle Spasms, Pain,,,Relaxed, Sleepy, Creative, Focused, Happy,,,,Berry, Lavender, Earthy,
2044,Green Crack,Hybrid,Stress, Depression, Pain,,,Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid,Citrus, Sweet, Earthy,
2119,Blackberry Trainwreck,Hybrid,,,,,,,,,,,,,,Earthy,Tropical,Flowery,
2122,Skywalker,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious,Earthy, Sweet,,
2140,Blue Mystic,Hybrid,Stress, Depression, Nausea,,,Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,,Blueberry, Earthy, Sweet,
2179,Berry White,Hybrid,Stress, Pain, Depression, Insomnia,,Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious,Berry, Sweet, Blueberry,
2211,Purple Diesel,Hybrid,,,,,,,,,,,,,,Grape,Rose,Honey,
2222,Blue City Diesel,Hybrid,,,,,,,,,,,,,,Lime,Grapefruit,Tropical,
2268,Straight Jacket,Hybrid,,,,,,,,,,,,,,Citrus,Grapefruit,Earthy,
2280,Cinderella 99,Sativa,,,,,,,,,,,,,,Earthy,Spicy/Herbal,Sweet,
2343,Royal Haze,Hybrid,Depression, Stress, Pain,,,Uplifted, Relaxed, Talkative, Happy, Euphoric, Dry Mouth,,,Skunk, Citrus, Earthy,
2350,Strawberry Kush,Hybrid,,,,,,,,,,,,,,Sweet,Berry,Flowery,
2358,Jack Frost,Hybrid,,,,,,,,,,,,,,Earthy,Citrus,Sweet,
2563,X Factor,Hybrid,,,,,,,,,,,,,,Sweet,Woody,Earthy,
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,,,
2626,Papaya,Hybrid,Stress, Pain, Insomnia, Inflammation,,Relaxed, Sleepy, Happy, Uplifted, Hungry, Dry Mouth, Paranoid, Anxious,Sweet,,,
2629,Acapulco Gold,Sativa,Depression, Stress, Pain, Lack of Appetite,,Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious,Earthy, Citrus,,
2688,LSD,Hybrid,,,,,,Happy,Relaxed,Euphoric,Uplifted,Creative,,,,Citrus,Pepper,Grapefruit,
2748,Oregon Diesel,Hybrid,Depression, Stress, Insomnia, Pain,,Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious,Earthy,,,
2764,Critical Kush,Indica,Depression, Stress, Pain, Lack of Appetite, Insomnia,Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Anxious, Paranoid,Earthy,,,
